FacilityName|FacilityNPI|FacilityType|FacilityMedicaidLicenseID1|FacilityMedicaidLicenseState1|FacilityMedicaidLicenseEffectiveDate1|FacilityMedicaidLicenseTerminationDate1|FacilityStateLicenseID1|FacilityStateLicenseState1|FacilityStateLicenseType1|FacilityStateLicenseEffectiveDate1|FacilityStateLicenseTerminationDate1|FacilityBoardCerficationID1|FacilityBoardCertificationType1|FacilityBoardCertificationEffectiveDate1|FacilityBoardCertificationTerminationDate1|FacilityMemberAssignment|BusinessName|BillingTIN|BillingAddress1|BillingAddress2|BillingCity|BillingState|BillingZip|BillingMailingAddress1|BillingMailingAddress2|BillingMailingCity|BillingMailingState|BillingMailingZip|BillingPhoneNumber|BillingFaxNumber|LocationName|FLCategory|LocationType|FacilitySubpartNPI|FLHoursOpenMon|FLHoursCloseMon|FLHoursOpenTues|FLHoursCloseTues|FLHoursOpenWed|FLHoursCloseWed|FLHoursOpenThurs|FLHoursCloseThurs|FLHoursOpenFri|FLHoursCloseFri|FLHoursOpenSat|FLHoursCloseSat|FLHoursOpenSun|FLHoursCloseSun|FLShowInDirectory|FLLanguage1|FLLanguage2|FLLanguage3|FLLanguage4|FLPrimarySpecialty|FLStateReportingProviderTypePrimary|FLStateReportingProviderSpecialtyPrimary|FLAdditionalSpecialty1|FLStateReportingProviderType1|FLStateReportingProviderSpecialty1|FLAdditionalSpecialty2|FLStateReportingProviderType2|FLStateReportingProviderSpecialty2|FLAdditionalSpecialty3|FLStateReportingProviderType3|FLStateReportingProviderSpecialty3|FLAdditionalSpecialty4|FLStateReportingProviderType4|FLStateReportingProviderSpecialty4|FLAdditionalSpecialty5|FLStateReportingProviderType5|FLStateReportingProviderSpecialty5|FLAdditionalSpecialty6|FLStateReportingProviderType6|FLStateReportingProviderSpecialty6|FLAdditionalSpecialty7|FLStateReportingProviderType7|FLStateReportingProviderSpecialty7|FLAdditionalSpecialty8|FLStateReportingProviderType8|FLStateReportingProviderSpecialty8|FLAdditionalSpecialty9|FLStateReportingProviderType9|FLStateReportingProviderSpecialty9|LocationAcceptsNewPatients|FLMinimumPatientAge|FLMaximumPatientAge|FLEHRUsed|FLHandicapAccessible|FLWheelchairAccessibleExamRoom|FLTerminationDate|FLTerminationReason|LocationAddress1|LocationAddress2|LocationCity|LocationState|LocationZip|PrimaryLocation|FLMailingAddress1|FLMailingAddress2|FLMailingCity|FLMailingState|FLMailingZip|LocationPhone|LocationFax|FLWebsiteURL|FLCCNetworkName|FLCCSubnetworkName|FLCCAffiliationID|FLCCContractID|FLCCReimbursementRate|FLCCAssignmentEffectiveDate|FLCCAssignmentTerminationDate|FirstName|MiddleName|LastName|Suffix|ProviderNPI|Gender|DateofBirth|SSN|ProviderLanguage1|ProviderLanguage2|ProviderLanguage3|ProviderLanguage4|ProviderPhoneNumber|ProviderFaxNumber|ProviderEmail|ProviderCredentialCode|PCP|ProviderPrimarySpecialtyCode|ProviderAdditionalSpecialty1|ProviderAdditionalSpecialty2|ProviderAdditionalSpecialty3|ProviderEngagementPriority|ApplicationCompleteDate|CredentialingApprovedDate|ProviderMedicaidLicenseID1|ProviderMedicaidLicenseState1|ProviderMedicaidLicenseEffectiveDate1|ProviderMedicaidLicenseTerminationDate1|ProviderStateLicenseID1|ProviderStateLicenseState1|ProviderStateLicenseType1|ProviderStateLicenseEffectiveDate1|ProviderStateLicenseTerminationDate1|ProviderBoardCerficationID1|ProviderBoardCertificationType1|ProviderBoardCertificationEffectiveDate1|ProviderBoardCertificationTerminationDate1|PLCategory|PLPrimarySpecialty|PLStateReportingProviderTypePrimary|PLStateReportingProviderSpecialtyPrimary|PLAdditionalSpecialty1|PLStateReportingProviderType1|PLStateReportingProviderSpecialty1|PLAdditionalSpecialty2|PLStateReportingProviderType2|PLStateReportingProviderSpecialty2|PLAdditionalSpecialty3|PLStateReportingProviderType3|PLStateReportingProviderSpecialty3|PLAdditionalSpecialty4|PLStateReportingProviderType4|PLStateReportingProviderSpecialty4|PLAdditionalSpecialty5|PLStateReportingProviderType5|PLStateReportingProviderSpecialty5|PLAdditionalSpecialty6|PLStateReportingProviderType6|PLStateReportingProviderSpecialty6|PLAdditionalSpecialty7|PLStateReportingProviderType7|PLStateReportingProviderSpecialty7|PLAdditionalSpecialty8|PLStateReportingProviderType8|PLStateReportingProviderSpecialty8|PLAdditionalSpecialty9|PLStateReportingProviderType9|PLStateReportingProviderSpecialty9|ProviderIsPCPLocation|PLAcceptsNewPatients|PLMinimumPatientAge|PLMaximumPatientAge|PLHoursOpenMon|PLHoursCloseMon|PLHoursOpenTues|PLHoursCloseTues|PLHoursOpenWed|PLHoursCloseWed|PLHoursOpenThurs|PLHoursCloseThurs|PLHoursOpenFri|PLHoursCloseFri|PLHoursOpenSat|PLHoursCloseSat|PLHoursOpenSun|PLHoursCloseSun|PLShowInDirectory|PLTerminationDate|PLTerminationReason|PLPhoneNumber|PLFaxNumber|PLAddress1|PLAddress2|PLCity|PLState|PLZip|ProviderPrimaryLocation|PLMailingAddress1|PLMailingAddress2|PLMailingCity|PLMailingState|PLMailingZip|PhysHospRelNPI1|PhysHospRelEffectiveDate1|PhysHospRelTerminationDate1|PhysHospRelType1|PhysHospRelNPI2|PhysHospRelEffectiveDate2|PhysHospRelTerminationDate2|PhysHospRelType2|PhysHospRelNPI3|PhysHospRelEffectiveDate3|PhysHospRelTerminationDate3|PhysHospRelType3|PhysHospRelNPI4|PhysHospRelEffectiveDate4|PhysHospRelTerminationDate4|PhysHospRelType4|PhysHospRelNPI5|PhysHospRelEffectiveDate5|PhysHospRelTerminationDate5|PhysHospRelType5|PLCCNetworkName|PLCCSubnetworkName|PLCCAffiliationID|PLCCContractID|PLCCReimbursementRate|PLCCAssignmentEffectiveDate|PLCCAssignmentTerminationDate
Test 9999900015|9999900015|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0015|99999_Scenario_0015|75%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900016|9999900016|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0016|99999_Scenario_0016|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900017|9999900017|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0017|99999_Scenario_0017|80%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900018|9999900018|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0018|99999_Scenario_0018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900019|9999900019|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0019|99999_Scenario_0019|80%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900019|9999900019|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0019|99999_Scenario_0019|90%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900020|9999900020|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0020|99999_Scenario_0020|70%||
Test 9999900021|9999900021|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0021|99999_Scenario_0021|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0021|99999_Scenario_0021|70%||
Test 9999900022|9999900022|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|LA0022|99999_Scenario_0022|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|LA0022|99999_Scenario_0022|70%||
Test 9999900023|9999900023|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|PLA0023|99999_Scenario_0023|70%||
Test 9999900024|9999900024|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID 1|MEDICAID|PLA0024|99999_Scenario_0024|70%||
Test 9999900025|9999900025|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID||PLA0025|99999_Scenario_0025|70%||
Test 9999900026|9999900026|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID 1|PLA0026|99999_Scenario_0026|70%||
Test 9999900027|9999900027|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID||99999_Scenario_0027|70%||
Test 9999900028|9999900028|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0028||70%||
Test 9999900029|9999900029|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0029|99999_Scenario_0029|||
Test 9999900030|9999900030|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0030|99999_Scenario_0030|70%||
Test 9999900030|9999900030|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0030|99999_Scenario_0030|70%||
Test 9999900031|9999900031|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0031|99999_Scenario_0031|70%||
Test 9999900031|9999900031|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Medicare DST|MEDICAID|PLA0031|99999_Scenario_0031|70%||
Test 9999900032|9999900032|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0032|99999_Scenario_0032|70%||
Test 9999900032|9999900032|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|Medicare DST|PLA0032|99999_Scenario_0032|70%||
Test 9999900033|9999900033|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0033|99999_Scenario_0033|70%||
Test 9999900033|9999900033|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Medicare DST|Medicare DST|PLA0033|99999_Scenario_0033|70%||
Test 9999900034|9999900034|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0034|99999_Scenario_0034_1|70%||
Test 9999900034|9999900034|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0034|99999_Scenario_0034_2|70%||
Test 9999900035|9999900035|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|PLA0035_1|99999_Scenario_0035|70%||
